DEPARTAMEN,PROVINCIA,DISTRITO,mean,min,percentile_10,percentile_90,max,std
LORETO,PUTUMAYO,YAGUAS,22.973617658943965,22.78008270263672,22.854120635986327,23.10327777862549,23.226205825805664,0.09180317670742574
LORETO,DATEM DEL MARANON,MORONA,22.95268309182961,20.953283309936523,22.668023681640626,23.23824996948242,23.3885498046875,0.33467514942790466
LORETO,MARISCAL RAMON CASTILLA,RAMON CASTILLA,22.92658142896476,22.814796447753906,22.859756088256837,22.986373519897462,23.050580978393555,0.048974109305323026
LORETO,MARISCAL RAMON CASTILLA,SAN PABLO,22.887479629984664,22.71393394470215,22.80384635925293,22.963652038574217,23.012863159179688,0.06330065132849624
LORETO,DATEM DEL MARANON,PASTAZA,22.8707935230152,22.58193016052246,22.721572875976562,23.02086353302002,23.63579750061035,0.14583745012503796
LORETO,MARISCAL RAMON CASTILLA,PEBAS,22.836467025715258,22.665327072143555,22.7606632232666,22.909174728393555,22.993375778198242,0.059886556023857423
LORETO,MAYNAS,LAS AMAZONAS,22.762101274481566,22.564979553222656,22.65676383972168,22.85600700378418,22.948287963867188,0.07582570743844666
LORETO,PUTUMAYO,PUTUMAYO,22.742786258292597,22.47369384765625,22.568569374084472,22.931459045410158,23.05510139465332,0.13373081625023397
LORETO,MAYNAS,IQUITOS,22.72259521484375,22.564741134643555,22.59411964416504,22.79398956298828,22.84709358215332,0.07944825166299316
TUMBES,ZARUMILLA,AGUAS VERDES,22.709638595581055,22.709638595581055,22.709638595581055,22.709638595581055,22.709638595581055,0.0
LORETO,MAYNAS,INDIANA,22.698646129261363,22.517072677612305,22.610797882080078,22.787594604492188,22.89606285095215,0.07109049640121802
LORETO,ALTO AMAZONAS,LAGUNAS,22.6944482421875,22.33502197265625,22.559765815734863,22.797875595092773,22.929025650024414,0.10244640247575319
LORETO,MARISCAL RAMON CASTILLA,YAVARI,22.686692097547976,22.373746871948242,22.482641220092773,22.91143341064453,23.24785041809082,0.15988269671917216
LORETO,MAYNAS,PUNCHANA,22.665260170990567,22.17730712890625,22.617219161987304,22.742752456665038,22.781126022338867,0.09538289355352919
LORETO,LORETO,URARINAS,22.645239736519606,22.43303871154785,22.560267066955568,22.745082473754884,22.860063552856445,0.07176448958272517
